Столица древнерусского государства;Киев,Москва,Русь,Рязань;Киев             
Русский царь,  проводивший опричнину;Иван IV,Иван III,Борис Годунов,Мономах;Иван IV          
Место, где было ледовое побоище;Чудское озеро,Псковское озеро,Лукоморье,Нева;Чудское озеро                     
Полуостров, проданный Россией Америке;Сахалин,Аляска,Юкон,Греэм-Белл;Аляска
Первый русский император;Петр I,Иван IV,Александр II,Николай II;Петр I
Воспитатель Александра I;Кентавр Хирон,Лагарп,София Баруськина,Диоген;Лагарп                                    
Бабушка Николая I;Екатерина II,Елизавета I,Мария Александровна,Шарлотта Прусская;Екатерина II                                                
Кружок единомышленников Александра I;Негласный комитет,Кружок вышивания,Кружок политиков,Не было у него единомышленников;Негласный комитет       
Первый русский музей;Амброзия,Кунсткамера,Музей Л.Н.Толстого,Эрмитаж в СПб;Кунсткамера                                        
Первая Мировая война началась;28 июня 1914 г.,28 июля 1914 г.,28 августа 1914 г.,1 сентября 1914 г.;28 июля 1914 г.                       
Легендарный основатель династии русских князей;Рюрик,Олег,Владимир Святой,Игорь Крутой;Рюрик  
Все работы, выполняемые на феодала;Барщина,Каторга,Феодальщина,Командировка;Барщина                
Победитель крестоносцев на Чудском озере;Александр Невский,Игорь Победоносный,Федот Северный,Суворов;Александр Невский
Поэт, гусар, герой войны 1812 года;Денис Давыдов,Александр Пушкин,Данте,Петр Багратион;Денис Давыдов                   
Фамилия царя Бориса;Годунов,Великий,Усманов,Табольский;Годунов             
Исторический период, следующий после Античности и предшествующий Новому времени, это...;Средние века,Миллениум,Второй период,Эпоха просвещения;Средние века
Российская и мировая медиввистика считают началом Средневековья;написание "Комедии" Данте Алигьери,крушение Западной Римской империи в конце V века,начало Английской революции 1640 г.,открытие Америки в 1492 г.;открытие Америки в 1492 г.  
Революция в Чехословакии получившая название «Пражская весна» произошла в...;1968г,1966г,1969г,1970г;1968г
Массовое религиозное и общественно - политическое движение в Западной и Центральной Европе в XVI веке, связанное с церковью, называлось...;реформация,шабат,коллоквиум,инквизиция;реформация
«Автор» «культурной революции» в Китае;Мао Цзэдун,Сун Мин,Чака,Сао Ли;Мао Цзэдун
Аграрная реформа, проведенная в Индии Индирой Ганди получила название;«Зеленая революция»,Реформация,Культ земли,Землянка;«Зеленая революция»
В 1990 году в Чили была свергнута диктатура;А.Пиночета,А.Санчеса,Х.Эрнанедеса,Чичарито;А.Пиночета
Массовые выступления горожан в Японии, проходившие в августе 1918 года вошли в историю как...;“Рисовые бунты”,"Рисовое саке","Выступления анимешников", "Пати сходка";“Рисовые бунты”
Коренные жители Рима и их потомки;Римляне,Патриции,Спагетты,Бен венуты;Патриции
С какой страной воевал Рим в Пунических войнах?;Карфаген,Галлы,Викинги,Скифы;Карфаген
Норманны на Руси известны под названием;Варяги,Норманы,Бедолаги,Понаехавшие;Варяги
Лжедмитрием I был;Григорий Отрепьев,Мария Мнишек,Федеор Ликов,Дмитрий II;Григорий Отрепьев
Сборник законов «Судебник» вышел в свет в России в;1497 г.,1495 г.,1597 г.,1491 г.;1497 г.
Взятие Иерусалима крестоносцами;1099 год,1201 год,1151 год,1049 год;1099 год
Какая страна называла свой флот?;Испания,Франция,Англия,Португалия;Испания
